"es.id","study.id","ma.id","ma.doi","topic","additional_topic","g","d","sign.dir","N","n1","n2","es.type","comments","Year","Status","Experiment"
"3629","12288","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.56121567999999999","NA","pos","69",NA,NA,"g","NA","2018","P","Y"
"3630","12289","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.56121567999999999","NA","pos","69",NA,NA,"g","NA","2018","P","Y"
"3631","12290","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","1.1609275400000001","NA","pos","54",NA,NA,"g","NA","2015","P","Y"
"3632","12291","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","1.1609275400000001","NA","pos","54",NA,NA,"g","NA","2015","P","Y"
"3633","12292","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.42817348","NA","pos","57",NA,NA,"g","NA","2015","P","Y"
"3634","12293","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.42817348","NA","pos","57",NA,NA,"g","NA","2015","P","Y"
"3635","12294","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.57971457000000004","NA","pos","87",NA,NA,"g","NA","2016","P","Y"
"3636","12295","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.58372376000000004","NA","pos","59",NA,NA,"g","NA","2016","P","Y"
"3637","12296","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.55152506999999995","NA","pos","56",NA,NA,"g","NA","2016","P","Y"
"3638","12297","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.50358073999999997","NA","pos","100",NA,NA,"g","NA","2014","P","Y"
"3639","12298","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.50358073999999997","NA","pos","100",NA,NA,"g","NA","2014","P","Y"
"3640","12299","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.21727830000000001","NA","pos","158",NA,NA,"g","NA","2017","P","Y"
"3641","12300","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","9.7715440000000001E-2","NA","pos","105",NA,NA,"g","NA","2017","P","Y"
"3642","12301","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.32433049000000003","NA","pos","107",NA,NA,"g","NA","2017","P","Y"
"3643","12302","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.61493752000000002","NA","pos","72",NA,NA,"g","NA","2014","P","Y"
"3644","12303","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.61493752000000002","NA","pos","72",NA,NA,"g","NA","2014","P","Y"
"3645","12304","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.75491481000000005","NA","pos","84",NA,NA,"g","NA","2015","P","Y"
"3646","12305","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.75491481000000005","NA","pos","84",NA,NA,"g","NA","2015","P","Y"
"3647","12306","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.68169681000000004","NA","pos","59",NA,NA,"g","NA","2015","P","Y"
"3648","12307","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.68169681000000004","NA","pos","59",NA,NA,"g","NA","2015","P","Y"
"3649","12308","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.52149999999999996","pos","59","30","29","d","NA","1978","P","Y"
"3650","12309","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.1099","pos","904","NA","NA","d","NA","2011","P","Y"
"3651","12310","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.43230000000000002","neg","150","75","75","d","NA","2011","U","Y"
"3652","12311","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.3095","neg","150","75","75","d","NA","2011","U","Y"
"3653","12312","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","2.41E-2","pos","196","98","98","d","NA","1976","P","Y"
"3654","12313","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.377","pos","196","98","98","d","NA","1976","P","Y"
"3655","12314","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.50990000000000002","pos","196","98","98","d","NA","1976","P","Y"
"3656","12315","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.23039999999999999","pos","176","88","88","d","NA","1976","P","Y"
"3657","12316","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.40620000000000001","pos","176","88","88","d","NA","1976","P","Y"
"3658","12317","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.61309999999999998","pos","176","88","88","d","NA","1976","P","Y"
